                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0623,                   3.03,                 1.5874,                0.70632,                0.64432,                0.68157,                0.53744,                0.83757,                 1.3915,                 1.6643,              0.0033258,              0.0033258,              0.0033258
                      1,                0.85252,                 1.3359,                 1.3431,                0.77146,                0.81302,                0.80517,                0.62981,                0.82564,                 1.0069,                 1.6372,              0.0065932,              0.0065932,              0.0065932
                      2,                0.87559,                 1.1796,                  1.346,                0.71483,                0.80829,                0.81223,                0.63994,                0.83006,                 1.0061,                 1.6728,              0.0097946,              0.0097946,              0.0097946
                      3,                0.90166,                 1.1713,                 1.3617,                0.74987,                0.82447,                0.82737,                0.63349,                0.87739,                 1.0349,                  1.723,               0.009703,               0.009703,               0.009703
                      4,                0.86401,                 1.0769,                 1.3372,                0.72287,                0.82305,                0.83314,                0.66843,                0.80925,                 1.0114,                 1.6137,               0.009703,               0.009703,               0.009703
                      5,                0.84262,                0.98929,                 1.3154,                0.88102,                0.84748,                  0.867,                0.70279,                0.76815,                0.88453,                 1.5452,               0.009604,               0.009604,               0.009604
                      6,                0.82845,                 0.9426,                 1.3012,                0.90922,                0.84124,                0.89006,                0.73332,                0.72641,                0.79491,                 1.4901,               0.009505,               0.009505,               0.009505
                      7,                0.81117,                0.88436,                 1.2919,                 0.8513,                0.85645,                0.88917,                0.73203,                0.73674,                0.77903,                 1.5043,               0.009406,               0.009406,               0.009406
                      8,                 0.8004,                0.85802,                 1.2872,                0.84886,                0.89871,                0.89971,                 0.7433,                0.72989,                0.68472,                    1.5,               0.009307,               0.009307,               0.009307
                      9,                0.79322,                0.83248,                 1.2782,                0.80661,                0.89055,                0.90708,                0.74546,                0.72382,                0.71758,                 1.4916,               0.009208,               0.009208,               0.009208
                     10,                0.77882,                0.79901,                 1.2688,                0.94584,                0.88724,                0.89396,                0.74217,                0.72578,                0.65283,                 1.4817,               0.009109,               0.009109,               0.009109
                     11,                0.78085,                 0.7869,                 1.2684,                0.85328,                0.88905,                0.89765,                0.74888,                0.71641,                0.69191,                 1.4651,                0.00901,                0.00901,                0.00901
                     12,                0.77007,                 0.7589,                 1.2631,                0.93499,                0.89939,                 0.9034,                0.75177,                0.70833,                0.61855,                 1.4519,               0.008911,               0.008911,               0.008911
                     13,                0.75804,                0.73134,                 1.2559,                0.92487,                0.90087,                 0.9148,                0.76108,                0.71387,                0.63201,                 1.4618,               0.008812,               0.008812,               0.008812
                     14,                0.76199,                0.73807,                 1.2608,                0.92018,                0.89438,                 0.9089,                0.75698,                0.71079,                0.65316,                 1.4702,               0.008713,               0.008713,               0.008713
                     15,                0.74514,                0.70363,                 1.2432,                0.95383,                0.90183,                0.90752,                0.75568,                0.69833,                0.62112,                 1.4448,               0.008614,               0.008614,               0.008614
                     16,                0.75048,                0.70629,                 1.2467,                0.94939,                0.89118,                 0.9156,                0.77086,                 0.6944,                0.62109,                 1.4367,               0.008515,               0.008515,               0.008515
                     17,                0.74555,                0.69313,                  1.244,                 0.8903,                0.90828,                0.91854,                0.77035,                0.70659,                0.60823,                 1.4526,               0.008416,               0.008416,               0.008416
                     18,                0.73973,                0.67738,                 1.2397,                0.93056,                0.90797,                0.91404,                0.76866,                0.69426,                0.58484,                 1.4366,               0.008317,               0.008317,               0.008317
                     19,                0.73728,                 0.6497,                 1.2433,                0.95696,                0.90927,                0.90836,                0.76214,                 0.6912,                0.57115,                 1.4335,               0.008218,               0.008218,               0.008218
                     20,                0.72994,                0.64172,                 1.2355,                0.96616,                0.91058,                0.91178,                0.76515,                0.68911,                0.56236,                 1.4307,               0.008119,               0.008119,               0.008119
                     21,                0.72682,                0.65454,                 1.2349,                0.88986,                0.91606,                0.92643,                0.78351,                0.67847,                0.55687,                 1.4142,                0.00802,                0.00802,                0.00802
                     22,                0.72841,                0.63284,                 1.2342,                0.92796,                0.90528,                0.91821,                0.77937,                0.68644,                0.55933,                 1.4241,               0.007921,               0.007921,               0.007921
                     23,                0.72386,                0.62578,                 1.2273,                 0.9334,                0.92655,                0.92979,                0.78466,                0.69735,                0.55943,                   1.44,               0.007822,               0.007822,               0.007822
                     24,                0.71636,                0.61095,                 1.2273,                0.95182,                0.91932,                0.91618,                0.78059,                0.67902,                0.57313,                 1.4094,               0.007723,               0.007723,               0.007723
                     25,                0.71721,                0.60621,                 1.2242,                0.95451,                0.92429,                0.93208,                0.78599,                0.68348,                0.54014,                 1.4141,               0.007624,               0.007624,               0.007624
                     26,                0.70964,                0.59622,                 1.2218,                0.95155,                0.93263,                 0.9322,                 0.7859,                0.68849,                0.56487,                 1.4241,               0.007525,               0.007525,               0.007525
                     27,                0.70677,                0.58616,                 1.2235,                0.96883,                0.93531,                 0.9358,                0.79262,                0.67986,                0.55091,                 1.4126,               0.007426,               0.007426,               0.007426
                     28,                0.70652,                0.58234,                 1.2145,                0.96388,                0.94122,                0.92577,                 0.7794,                0.67574,                0.55942,                 1.4072,               0.007327,               0.007327,               0.007327
                     29,                0.70447,                0.57594,                 1.2172,                0.96267,                0.92549,                0.91567,                0.78453,                0.67113,                0.58058,                 1.4006,               0.007228,               0.007228,               0.007228
                     30,                0.70337,                0.57337,                 1.2166,                0.96095,                0.94584,                0.92991,                0.78434,                0.66764,                0.56232,                 1.3952,               0.007129,               0.007129,               0.007129
                     31,                0.70293,                0.56778,                 1.2165,                 0.9378,                0.94337,                0.93339,                0.79501,                0.66472,                0.53512,                 1.3892,                0.00703,                0.00703,                0.00703
                     32,                0.69856,                 0.5601,                 1.2127,                0.96502,                0.92638,                 0.9316,                0.79149,                0.67055,                0.54571,                 1.3959,               0.006931,               0.006931,               0.006931
                     33,                0.69871,                0.55233,                 1.2105,                0.94365,                0.93824,                0.93286,                0.79155,                0.67722,                0.54878,                 1.4105,               0.006832,               0.006832,               0.006832
                     34,                0.70073,                0.55031,                 1.2122,                0.95914,                0.93194,                0.92013,                0.78702,                0.66926,                0.55684,                  1.394,               0.006733,               0.006733,               0.006733
                     35,                0.69767,                0.54415,                 1.2091,                0.96226,                0.93709,                0.93421,                0.79776,                0.67115,                0.55523,                 1.3973,               0.006634,               0.006634,               0.006634
                     36,                0.68661,                0.53262,                 1.2026,                0.96894,                0.93372,                0.92787,                0.79475,                0.67591,                0.54225,                  1.405,               0.006535,               0.006535,               0.006535
                     37,                0.69212,                0.53165,                 1.2084,                0.96064,                0.94037,                0.93565,                0.80319,                0.66476,                0.53562,                 1.3891,               0.006436,               0.006436,               0.006436
                     38,                 0.6873,                0.52117,                  1.202,                0.95964,                0.94088,                0.93408,                0.80157,                0.66207,                0.53891,                 1.3855,               0.006337,               0.006337,               0.006337
